"","X","Y","OBJECTID","DVRPC_ID","SEPTA_ID","TYPE","LINE","STATION","OPERATOR","GLOBALID","COUNTY","STATE"
"189",-75.2249181356625,40.0267715362736,113,114,90221,"Commuter Rail","Manayunk/Norristown Line","Manayunk","SEPTA","{AE34F531-825E-4EA2-BF0D-82281C22995A}","Philadelphia","Pennsylvania"
"191",-75.6217572440421,40.0194311796835,46,47,90504,"Commuter Rail","Paoli/Thorndale Line","Exton","SEPTA","{ACD08C63-F4D5-48EF-83C1-F86B1AA80896}","Chester","Pennsylvania"
"196",-74.659429657129,40.3435153256392,282,283,0,"Commuter Rail","Northeast Corridor","Princeton","NJ Transit","{074E03D6-435A-4397-B25E-545EAE98BC74}","Mercer","New Jersey"
"197",-75.1902049918305,40.042413026972,106,107,90806,"Commuter Rail","Chestnut Hill West Line","Upsal","SEPTA","{FDF7B5DB-474C-4046-99D7-518D8F5BE7C6}","Philadelphia","Pennsylvania"
"198",-75.1236528099255,40.0327721444643,133,134,90811,"Commuter Rail","Fox Chase Line","Olney","SEPTA","{A06855B9-7602-44B9-8630-3EA4E0BB5763}","Philadelphia","Pennsylvania"
"200",-75.2084931099622,40.0762414046827,102,103,90801,"Commuter Rail","Chestnut Hill West Line","Chestnut Hill West","SEPTA","{7907C30B-42FF-4FFF-BE4A-B6F3D09F6388}","Philadelphia","Pennsylvania"
"203",-75.7628964204297,39.992772219231,125,126,90501,"Commuter Rail","Paoli/Thorndale Line","Thorndale","SEPTA","{872D8862-E019-4886-944B-F5F8F320E712}","Chester","Pennsylvania"
"206",-75.3872111852137,40.0458389422907,53,54,90511,"Commuter Rail","Paoli/Thorndale Line","Wayne","SEPTA","{55068628-78D1-43C0-BB05-4364A3B6866F}","Delaware","Pennsylvania"
"210",-75.1822544237144,39.9566448041891,29,30,90004,"Commuter Rail","SEPTA Main Line","30th Street Station","SEPTA","{0687EB29-7C97-4249-93BF-169C5C3DA705}","Philadelphia","Pennsylvania"
"213",-74.8154936830646,40.2573167695761,20,21,90327,"Commuter Rail","West Trenton Line","West Trenton","SEPTA","{A466ABA8-A425-4D5F-8444-EDD68BDC17EB}","Mercer","New Jersey"
"215",-75.3594598226783,40.0447356009028,54,55,90513,"Commuter Rail","Paoli/Thorndale Line","Radnor","SEPTA","{11D8CFBF-648D-49AE-9CC0-617C19F1B0CD}","Delaware","Pennsylvania"
"216",-75.2018377547431,40.0774747943598,100,101,90719,"Commuter Rail","Chestnut Hill East Line","Gravers Lane","SEPTA","{5920AB9B-E071-462C-8790-AB158B02F9AC}","Philadelphia","Pennsylvania"
"218",-75.1715725029843,40.051108039411,149,150,90714,"Commuter Rail","Chestnut Hill East Line","Washington Lane","SEPTA","{7C70DC42-867F-43DF-A9DC-6AB5F73DF21F}","Philadelphia","Pennsylvania"
"219",-75.3422972541808,40.0386474247408,55,56,90514,"Commuter Rail","Paoli/Thorndale Line","Villanova","SEPTA","{FFE30F1D-1247-4AAD-96B6-C14A0F8446D6}","Delaware","Pennsylvania"
"221",-75.2073275130351,40.0810414874251,101,102,90720,"Commuter Rail","Chestnut Hill East Line","Chestnut Hill East","SEPTA","{7E936D0D-D804-4E3E-A0DB-D16262476381}","Philadelphia","Pennsylvania"
"227",-75.2982074111104,39.9217632514126,135,136,90308,"Commuter Rail","Media/Elwyn Line","Primos","SEPTA","{363D0A73-A3FE-4C49-8E35-78042409353B}","Delaware","Pennsylvania"
"231",-75.341719585617,39.8573852617183,63,64,90208,"Commuter Rail","Wilmington/Newark Line","Eddystone","SEPTA","{8E9C5C70-BB26-4DDA-A328-AA8D6AB713DA}","Delaware","Pennsylvania"
"235",-75.1811429758277,40.0299803270381,108,109,90808,"Commuter Rail","Chestnut Hill West Line","Chelten Avenue","SEPTA","{FCDFCF60-7B71-47FD-B66D-8ED4FA62DBB1}","Philadelphia","Pennsylvania"
"237",-75.4229728641,40.0473692680207,51,52,90509,"Commuter Rail","Paoli/Thorndale Line","Devon","SEPTA","{F8A1397C-5F9B-488B-919E-E8F78F4F4485}","Chester","Pennsylvania"
"243",-74.907609042836,39.7835607194141,275,276,0,"Commuter Rail","Atlantic City Line","Atco","NJ Transit","{783C971F-CFBE-4D77-B8E0-8ED6B89C7903}","Camden","New Jersey"
"244",-75.062003647249,39.9778978927686,299,300,0,"Commuter Rail","Atlantic City Line","Pennsauken Transit Center","NJ Transit","{01A93325-7009-4CE5-92EF-6516C80D88C1}","Camden","New Jersey"
"245",-75.2416581873523,39.8773195952718,140,141,90402,"Commuter Rail","Airport Line","Airport Terminal C & D","SEPTA","{B5FBC0E2-33AC-43D2-A689-7DED667D125D}","Philadelphia","Pennsylvania"
"246",-75.1565853974728,39.9972228982557,142,143,90810,"Commuter Rail","Chestnut Hill West Line","North Philadelphia","SEPTA","{F467D78C-9FE8-4959-AF5F-D1C504F853F6}","Philadelphia","Pennsylvania"
"249",-74.6241020354391,40.3160270364101,272,273,0,"Commuter Rail","Northeast Corridor","Princeton Junction","NJ Transit","{79D39F84-5B60-41BA-A44B-AFA51CEFA759}","Mercer","New Jersey"
