X,Y,OBJECTID,DVRPC_ID,SEPTA_ID,TYPE,LINE,STATION,OPERATOR,GLOBALID,COUNTY,STATE
-75.020738894972,40.1278793913035,10,10,90320,Commuter Rail,West Trenton Line,Forest Hills,SEPTA,{AE192EF2-C66E-4943-8481-0280A959301A},Philadelphia,Pennsylvania
-75.1641417414439,39.9524594389376,179,180,0,Subway,Broad Street Line,City Hall,SEPTA,{06D159CC-E080-4761-B19D-ADC360971742},Philadelphia,Pennsylvania
-75.2714350145702,39.9373015038851,70,71,90311,Commuter Rail,Media/Elwyn Line,Lansdowne,SEPTA,{2666B56E-EC4A-4F68-9E98-2A45CDF66353},Delaware,Pennsylvania
-74.7538834309671,40.2185537371211,301,302,0,Commuter Rail,Northeast Corridor,Trenton Transit Center,NJ Transit,{42542F52-BCCE-4504-9049-5C01BE886E15},Mercer,New Jersey
-75.1685064838231,39.9298565884123,181,182,0,Subway,Broad Street Line,Tasker-Morris,SEPTA,{1024E643-CEA1-4433-82A5-B7CA8F5FC9CB},Philadelphia,Pennsylvania
-74.754312639283,40.2054264097894,287,288,0,Light Rail,RiverLine,Cass Street,NJ Transit,{8C6F60A3-602D-465B-A4AA-1FB70402E5DD},Mercer,New Jersey
-75.7105783053413,40.0020769931279,317,318,0,Intercity Passenger Rail,Amtrak (Keystone),Downingtown,Amtrak,{ECDD664F-41DC-4B6E-B22C-01C1124F1143},Chester,Pennsylvania
-75.389448074308,39.9179265938535,248,249,0,Surface Trolley,Route 101 Trolley,Jackson Street,SEPTA,{DEB21687-7805-46C0-8982-3EB225BB73AC},Delaware,Pennsylvania
-75.2791632001534,39.9529739501028,224,225,0,Surface Trolley,Route 101 & 102 Trolley Lines,Congress Avenue,SEPTA,{3DDE289A-01E3-4A4D-997F-6A316D044B83},Delaware,Pennsylvania
-75.3930087321401,39.8337006220378,61,62,90206,Commuter Rail,Wilmington/Newark Line,Highland Avenue,SEPTA,{3D6B61CD-9BA9-4E0F-B431-2DCFFD0E8803},Delaware,Pennsylvania
-75.2383531605646,39.944919322447,136,137,90313,Commuter Rail,Media/Elwyn Line,Angora,SEPTA,{C897A6CA-5C6B-4ECA-99BD-66B7A73A8F4F},Philadelphia,Pennsylvania
-75.3362225705565,40.0277877957985,256,257,0,Rapid Transit,Norristown High Speed Line,Garrett Hill,SEPTA,{D940013C-A03F-424F-BCAC-789475207C75},Delaware,Pennsylvania
-75.2890959906918,39.9487575263541,227,228,0,Surface Trolley,Route 101 & 102 Trolley Lines,Irvington Road,SEPTA,{10A73299-5560-4A61-8660-2BEE0418BDE5},Delaware,Pennsylvania
